id,rank,user_name,exercise,is_exam,is_passed,time,time_seconds,date
0,1,df09,x0_rA1-1x9-2-n0d0x0r0,0,1,00:03.17,3.17,27.04.24
1,2,df09,x0_rA1-1x9-2-n0d0x0r0,0,1,00:03.20,3.2,27.04.24
2,3,df09,x0_rA1-1x9-2-n0d0x0r0,0,1,00:03.28,3.28,27.04.24
3,4,df09,x0_rA1-1x9-2-n0d0x0r0,0,1,00:03.30,3.3,27.04.24
4,5,df09,x0_rA1-1x9-2-n0d0x0r0,0,1,00:03.31,3.31,27.04.24
5,6,df09,x0_rA1-1x9-2-n0d0x0r0,0,1,00:03.33,3.33,27.04.24
6,7,df09,x0_rA1-1x9-2-n0d0x0r0,0,1,00:03.34,3.34,27.04.24
7,8,df09,x0_rA1-1x9-2-n0d0x0r0,0,1,00:03.34,3.34,27.04.24
8,9,df09,x0_rA1-1x9-2-n0d0x0r0,0,1,00:03.41,3.41,27.04.24
9,10,df09,x0_rA1-1x9-2-n0d0x0r0,0,1,00:03.49,3.49,27.04.24
10,11,df09,x0_rA1-1x9-2-n0d0x0r0,0,1,00:04.01,4.01,27.04.24
11,12,df09,x1_rA1-1x9-2-n0d0x0r0,0,1,00:04.01,4.01,27.04.24
12,13,df09,x0_rA1-1x9-2-n0d0x0r0,0,1,00:04.36,4.36,27.04.24
13,14,df09,x0_rA1-1x9-2-n0d0x0r0,0,0,00:03.14,3.14,27.04.24
14,15,df09,x1_rA1-1x9-2-n0d0x0r0,0,0,00:03.14,3.14,27.04.24
15,16,df09,x0_rA1-1x9-2-n0d0x0r0,0,0,00:03.18,3.18,27.04.24
16,17,df09,x1_rA1-1x9-2-n0d0x0r0,0,0,00:03.18,3.18,27.04.24
17,18,df09,x0_rA1-1x9-2-n0d0x0r0,0,0,00:07.06,7.06,27.04.24
18,19,df09,x1_rA1-1x9-2-n0d0x0r0,0,0,00:07.06,7.06,27.04.24
20,20,df09,x0_rA1-1x9-2-n0d0x0r0,0,0,00:08.46,8.46,27.04.24
19,21,df09,x0_rA1-1x9-2-n0d0x0r0,0,0,00:18.20,18.2,27.04.24
